0,0,0,4090,2,1,0,0,1,22,2
0,0,0,461,1,2,0,0,1,14,2
4090,1,0,1775,2,3,37,2,10,29,2
1775,3,37,2555,4,4,25,17,25,41,2
2555,4,25,2834,4,5,25,25,33,51,1
2555,4,25,2841,4,6,25,25,33,56,1
2555,4,25,1961,4,8,25,26,34,48,1
2555,4,25,3814,4,11,25,26,34,48,1
2555,4,25,1669,4,7,25,26,34,56,1
1775,3,37,3750,3,10,37,26,34,51,1
2555,4,25,3897,4,9,25,26,34,57,1
2555,4,25,3751,4,12,25,26,34,45,1
2555,4,25,635,4,13,25,27,35,49,1
2555,4,25,3267,4,14,25,27,35,54,1
2555,4,25,3919,4,15,25,28,36,51,1
2555,4,25,1876,4,16,25,29,37,53,1
2555,4,25,952,4,17,25,30,38,48,2
2841,6,25,3123,4,18,25,33,41,51,2
2834,5,25,3087,4,19,25,34,42,60,2
3750,10,37,1986,3,21,88,35,43,64,1
2841,6,25,1353,4,20,25,35,43,66,1
3750,10,37,2712,3,22,88,36,44,56,2
1353,20,25,247,2,23,25,43,51,71,2
1986,21,88,1508,2,24,88,45,53,65,2
247,23,25,2530,4,25,25,53,61,82,1
2530,25,25,2169,4,26,25,62,70,92,2
2530,25,25,1124,4,27,25,64,72,96,1
2530,25,25,4039,4,28,25,64,72,94,1
2530,25,25,3019,4,29,25,65,73,88,1
2530,25,25,2452,4,31,25,67,75,96,1
2530,25,25,394,4,30,25,67,75,89,2
2530,25,25,240,4,32,25,68,76,96,2
2530,25,25,2045,4,35,25,70,78,89,2
2530,25,25,1598,4,34,25,70,78,95,1
2530,25,25,172,4,33,25,70,78,101,1
247,23,25,806,4,36,25,71,79,99,2
4039,28,25,4237,4,38,25,73,81,100,2
1124,27,25,3347,4,37,25,73,81,94,1
3019,29,25,3567,4,40,25,74,82,92,1
3019,29,25,1922,4,39,25,74,82,102,2
3019,29,25,2722,4,41,25,75,83,103,1
2530,25,25,3540,4,42,25,75,83,93,1
2169,26,25,3762,4,43,25,77,85,102,1
806,36,25,277,4,44,25,80,88,105,1
806,36,25,2754,4,45,25,80,88,98,1
806,36,25,957,4,46,25,81,89,107,1
806,36,25,3862,4,47,25,82,90,112,1
806,36,25,2031,4,48,25,84,92,104,1
806,36,25,287,4,49,25,87,95,108,1
2754,45,25,2827,4,51,25,89,97,115,1
2754,45,25,2688,4,50,25,89,97,109,1
277,44,25,913,2,53,135,89,97,121,2
2754,45,25,4322,4,52,25,89,97,107,1
957,46,25,2414,4,55,25,90,98,108,1
277,44,25,1439,4,54,25,90,98,110,1
2754,45,25,1834,4,56,25,91,99,110,1
2754,45,25,4124,4,57,25,91,99,118,2
3862,47,25,586,4,58,25,93,101,119,2
2754,45,25,1543,4,59,25,95,103,115,1
913,53,135,353,3,60,88,98,106,130,1
