0,0,0,279,2,1,0,0,1,16,2,4
0,0,0,1316,3,2,0,0,1,15,1,3
279,1,0,2147,2,3,37,3,11,30,2,4
279,1,0,2085,3,4,88,9,17,31,1,5
1316,2,0,2995,3,5,88,11,19,36,1,5
279,1,0,1275,2,6,88,14,22,43,2,4
2147,3,37,2757,3,7,37,20,28,49,1,3
2995,5,88,4096,2,8,135,23,31,50,2,1
2147,3,37,35,2,9,37,24,32,51,2,4
2085,4,88,250,3,10,135,25,33,43,1,5
1275,6,88,1231,2,11,88,28,36,49,1,4
2995,5,88,2901,2,12,88,29,37,57,2,4
250,10,135,3309,2,13,135,33,41,54,2,1
2995,5,88,650,2,14,135,34,42,52,2,1
250,10,135,1830,3,15,88,35,43,61,1,5
35,9,37,969,2,17,37,36,44,61,2,4
1231,11,88,2223,3,19,33,36,44,57,1,3
2757,7,37,1293,2,16,88,36,44,62,2,6
1231,11,88,2171,2,18,33,36,44,59,2,4
2757,7,37,1380,2,20,88,37,45,66,2,4
2901,12,88,3856,3,21,88,39,47,67,1,5
1380,20,88,2998,3,24,33,45,53,63,2,3
1380,20,88,3417,2,25,33,45,53,70,2,4
1380,20,88,220,3,23,33,45,53,63,1,3
2223,19,33,2697,2,22,88,45,53,74,2,4
1380,20,88,2890,2,26,33,46,54,70,2,4
1380,20,88,3566,3,27,33,46,54,67,1,3
1380,20,88,1436,3,28,33,47,55,70,2,3
1380,20,88,1383,2,30,33,48,56,77,2,4
1380,20,88,2337,2,31,33,48,56,72,2,4
1380,20,88,1382,2,29,33,48,56,75,2,4
1830,15,88,573,2,32,88,50,58,78,2,4
220,23,33,4003,3,33,88,55,63,84,1,5
3856,21,88,3488,3,34,88,56,64,78,1,5
3856,21,88,3005,3,35,88,57,65,86,1,5
220,23,33,3900,3,36,88,57,65,77,1,5
1382,29,33,1922,3,39,88,58,66,87,1,5
220,23,33,2704,3,37,88,58,66,80,2,3
220,23,33,2892,3,38,88,58,66,90,2,3
3417,25,33,1874,3,40,88,58,66,90,1,5
2697,22,88,1530,2,41,88,60,68,84,2,4
4003,33,88,833,3,42,88,65,73,95,1,3
1382,29,33,610,3,43,88,72,80,98,1,5
2704,37,88,1792,2,44,88,75,83,95,2,4
3005,35,88,815,2,45,135,86,94,109,2,1
0,0,0,1541,2,47,0,218,218,232,2,4
0,0,0,1495,1,46,0,218,218,239,2,7
1495,46,0,243,3,48,88,218,226,245,1,5
1541,47,0,1524,2,49,37,229,237,261,2,4
1495,46,0,3022,3,50,88,232,240,256,1,3
243,48,88,1745,3,51,88,236,244,258,1,5
243,48,88,2864,3,52,88,239,247,260,2,5
1524,49,37,3386,3,53,37,242,250,265,1,3
243,48,88,3214,3,54,88,243,251,261,2,3
1524,49,37,664,2,55,37,244,252,264,2,4
243,48,88,321,2,56,88,245,253,272,2,4
243,48,88,3810,3,57,88,246,254,265,1,5
3214,54,88,1411,3,59,33,251,259,269,1,3
3214,54,88,1059,2,58,33,251,259,270,2,4
3214,54,88,3210,2,60,33,253,261,280,2,4
321,56,88,2754,3,62,33,254,262,284,1,3
3214,54,88,2148,3,61,33,254,262,286,1,3
321,56,88,4298,2,64,33,255,263,275,2,4
3214,54,88,2239,2,63,33,255,263,274,2,4
321,56,88,1599,3,65,33,256,264,285,1,3
3214,54,88,3852,2,66,33,256,264,274,2,4
321,56,88,1718,2,67,33,259,267,278,2,4
3214,54,88,4154,2,69,33,259,267,286,2,4
3214,54,88,3464,3,68,33,259,267,287,2,3
321,56,88,3212,2,70,33,260,268,291,2,4
3210,60,33,1690,3,71,33,261,269,283,1,3
1059,58,33,102,3,72,33,262,270,290,2,3
3210,60,33,3490,2,73,33,263,271,283,2,4
4298,64,33,305,3,74,33,263,271,286,2,3
3810,57,88,4294,1,75,88,264,272,296,2,7
1411,59,33,2031,3,82,88,264,272,283,1,5
3210,60,33,3946,3,80,33,264,272,284,1,3
321,56,88,451,2,81,33,264,272,293,1,4
1059,58,33,3025,2,78,33,264,272,283,2,4
1599,65,33,1605,3,79,33,264,272,293,2,3
3210,60,33,990,3,77,33,264,272,285,1,3
321,56,88,2794,3,76,33,264,272,285,2,3
1059,58,33,2140,3,85,33,265,273,290,1,3
1059,58,33,2437,3,86,33,265,273,295,1,3
2239,63,33,2361,2,87,33,265,273,296,2,4
3210,60,33,286,3,88,33,265,273,294,1,3
2148,61,33,121,3,83,88,265,273,289,2,3
4298,64,33,673,3,84,33,265,273,292,1,3
2239,63,33,2722,2,91,33,266,274,288,1,4
3210,60,33,1171,2,89,33,266,274,290,2,4
321,56,88,2020,2,92,33,266,274,287,2,4
2239,63,33,230,2,90,33,266,274,295,1,4
1059,58,33,497,2,93,88,267,275,288,2,4
2239,63,33,1094,2,94,33,267,275,285,2,4
1411,59,33,1075,3,97,88,267,275,295,1,5
4298,64,33,915,2,98,33,267,275,294,2,4
4154,69,33,3037,2,96,33,267,275,289,2,4
1718,67,33,1008,2,95,33,267,275,299,2,4
3212,70,33,441,2,101,33,268,276,298,2,4
1059,58,33,3081,2,99,33,268,276,291,2,4
1718,67,33,2084,2,102,33,268,276,297,2,4
3852,66,33,459,2,100,33,268,276,288,2,4
2239,63,33,113,3,103,88,269,277,289,1,5
2239,63,33,3057,3,106,33,269,277,298,1,3
